ID,Gender,Car,Property,Children,Income,Education,Family_Status,HouseType,Birth,WorkDays,Mobile,Phone,PersonalPhone,Email,Job,WorkMonths,Status,Target
5135918,M,N,Y,2+ children,90000,Secondary / secondary special,Married,House / apartment,-15988,-566,1,1,1,0,Laborers,-30,0,0
5117163,F,N,N,1 children,135000,Secondary / secondary special,Separated,House / apartment,-16150,-5148,1,0,0,0,Medicine staff,-10,C,0
5050562,M,N,N,2+ children,225000,Higher education,Civil marriage,House / apartment,-16768,-3088,1,1,0,0,Laborers,-13,0,0
5061121,F,N,Y,1 children,324000,Higher education,Married,House / apartment,-13482,-4795,1,0,0,0,Managers,-11,X,0
5036943,F,N,Y,No children,391500,Secondary / secondary special,Single / not married,House / apartment,-13995,-5849,1,0,0,0,Managers,-18,X,0
5054192,F,N,N,No children,135000,Secondary / secondary special,Married,House / apartment,-11390,-515,1,0,1,0,Sales staff,-20,C,0
5054384,M,Y,N,No children,292500,Higher education,Single / not married,House / apartment,-14050,-3680,1,1,1,0,Laborers,-13,0,0
5148650,F,Y,Y,1 children,202500,Secondary / secondary special,Married,House / apartment,-15346,-2481,1,0,0,0,Laborers,-6,X,0
5048416,F,N,Y,No children,229500,Higher education,Married,House / apartment,-16641,-1192,1,0,0,0,Core staff,-6,X,0
5085793,F,N,Y,No children,157500,Incomplete higher,Married,House / apartment,-14140,-2513,1,0,0,0,Drivers,-33,X,0
5054311,F,N,N,No children,112500,Secondary / secondary special,Married,House / apartment,-20285,-1734,1,1,1,0,High skill tech staff,-34,C,0
5021709,F,N,Y,2+ children,202500,Lower secondary,Married,House / apartment,-13483,-5204,1,0,0,1,Laborers,-7,0,0
5028530,F,N,Y,No children,171000,Secondary / secondary special,Married,House / apartment,-15629,-356,1,0,0,0,Sales staff,-19,0,0
5086055,F,N,Y,No children,202500,Secondary / secondary special,Married,House / apartment,-15929,-2879,1,0,1,0,Laborers,-4,C,0
5117403,F,N,N,No children,94500,Secondary / secondary special,Married,House / apartment,-16758,-1619,1,0,0,0,Waiters/barmen staff,-3,C,0
5095009,M,N,Y,2+ children,180000,Secondary / secondary special,Married,House / apartment,-10640,-1494,1,1,1,0,Laborers,-31,0,0
5090155,M,Y,Y,1 children,225000,Higher education,Married,House / apartment,-12763,-2255,1,0,1,0,Core staff,-4,C,0
5117461,F,Y,N,1 children,148500,Secondary / secondary special,Married,House / apartment,-11675,-3779,1,1,0,0,Sales staff,-32,0,0
5105584,F,N,N,No children,171000,Secondary / secondary special,Married,House / apartment,-10063,-917,1,0,0,0,Private service staff,-1,X,0
5149940,F,N,N,No children,450000,Secondary / secondary special,Married,House / apartment,-18826,-686,1,0,0,0,Laborers,-19,0,0
5145821,F,N,N,No children,202500,Secondary / secondary special,Separated,House / apartment,-14562,-4653,1,0,0,0,High skill tech staff,-25,X,0
5086037,F,N,Y,No children,90000,Secondary / secondary special,Married,House / apartment,-17444,-1112,1,1,0,0,Laborers,-34,0,0
